 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100.00 MeV   3.146E+00  1.547E-03   17.83 mm   794.82 um   441.66 um  
 110.00 MeV   2.920E+00  1.418E-03   21.13 mm   926.71 um   520.03 um  
 120.00 MeV   2.727E+00  1.310E-03   24.67 mm     1.06 mm   603.73 um  
 130.00 MeV   2.562E+00  1.218E-03   28.45 mm     1.19 mm   692.62 um  
 140.00 MeV   2.418E+00  1.138E-03   32.46 mm     1.33 mm   786.55 um  
 150.00 MeV   2.292E+00  1.068E-03   36.70 mm     1.46 mm   885.41 um  
 160.00 MeV   2.180E+00  1.007E-03   41.17 mm     1.60 mm   989.07 um  
 170.00 MeV   2.081E+00  9.527E-04   45.86 mm     1.74 mm     1.10 mm  
 180.00 MeV   1.991E+00  9.041E-04   50.76 mm     1.88 mm     1.21 mm  
 200.00 MeV   1.837E+00  8.209E-04   61.21 mm     2.41 mm     1.45 mm  
 225.00 MeV   1.680E+00  7.369E-04   75.43 mm     3.16 mm     1.77 mm  
 250.00 MeV   1.552E+00  6.690E-04   90.89 mm     3.86 mm     2.12 mm  
 275.00 MeV   1.446E+00  6.129E-04  107.56 mm     4.55 mm     2.49 mm  
 300.00 MeV   1.357E+00  5.658E-04  125.38 mm     5.22 mm     2.89 mm  
 325.00 MeV   1.280E+00  5.256E-04  144.33 mm     5.90 mm     3.31 mm  
 350.00 MeV   1.214E+00  4.910E-04  164.36 mm     6.57 mm     3.75 mm  
 375.00 MeV   1.156E+00  4.608E-04  185.45 mm     7.25 mm     4.21 mm  
 400.00 MeV   1.105E+00  4.342E-04  207.55 mm     7.92 mm     4.69 mm  
 450.00 MeV   1.019E+00  3.895E-04  254.64 mm    10.41 mm     5.70 mm  
 500.00 MeV   9.488E-01  3.534E-04  305.45 mm    12.71 mm     6.78 mm  
 550.00 MeV   8.912E-01  3.237E-04  359.78 mm    14.91 mm     7.92 mm  
 600.00 MeV   8.429E-01  2.987E-04  417.41 mm    17.06 mm     9.11 mm  
 650.00 MeV   8.017E-01  2.774E-04  478.18 mm    19.17 mm    10.36 mm  
 700.00 MeV   7.662E-01  2.590E-04  541.92 mm    21.26 mm    11.66 mm  
 800.00 MeV   7.082E-01  2.289E-04  677.58 mm    28.76 mm    14.38 mm  
 900.00 MeV   6.629E-01  2.053E-04  823.42 mm    35.53 mm    17.26 mm  
   1.00 GeV   6.265E-01  1.862E-04  978.48 mm    41.89 mm    20.26 mm  
-----------------------------------------------------------
