 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 93.915 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   3.923E+03  2.409E+02    3.61 um     2933 A      3509 A   
  11.00 MeV   4.168E+03  2.248E+02    3.84 um     3004 A      3629 A   
  12.00 MeV   4.393E+03  2.109E+02    4.06 um     3067 A      3736 A   
  13.00 MeV   4.601E+03  1.989E+02    4.27 um     3123 A      3833 A   
  14.00 MeV   4.793E+03  1.882E+02    4.48 um     3173 A      3921 A   
  15.00 MeV   4.971E+03  1.788E+02    4.67 um     3218 A      4001 A   
  16.00 MeV   5.137E+03  1.703E+02    4.86 um     3259 A      4075 A   
  17.00 MeV   5.291E+03  1.627E+02    5.05 um     3296 A      4144 A   
  18.00 MeV   5.435E+03  1.558E+02    5.23 um     3331 A      4208 A   
  20.00 MeV   5.697E+03  1.438E+02    5.57 um     3412 A      4324 A   
  22.50 MeV   5.987E+03  1.314E+02    5.99 um     3510 A      4452 A   
  25.00 MeV   6.245E+03  1.211E+02    6.39 um     3595 A      4564 A   
  27.50 MeV   6.478E+03  1.125E+02    6.77 um     3671 A      4665 A   
  30.00 MeV   6.692E+03  1.051E+02    7.14 um     3740 A      4755 A   
  32.50 MeV   6.892E+03  9.864E+01    7.51 um     3803 A      4838 A   
  35.00 MeV   7.080E+03  9.304E+01    7.86 um     3860 A      4915 A   
  37.50 MeV   7.258E+03  8.809E+01    8.20 um     3914 A      4985 A   
  40.00 MeV   7.428E+03  8.368E+01    8.54 um     3964 A      5051 A   
  45.00 MeV   7.748E+03  7.616E+01    9.19 um     4106 A      5170 A   
  50.00 MeV   8.047E+03  6.998E+01    9.81 um     4232 A      5276 A   
  55.00 MeV   8.328E+03  6.480E+01   10.42 um     4345 A      5371 A   
  60.00 MeV   8.593E+03  6.038E+01   11.00 um     4447 A      5457 A   
  65.00 MeV   8.845E+03  5.658E+01   11.57 um     4541 A      5536 A   
  70.00 MeV   9.083E+03  5.325E+01   12.12 um     4628 A      5608 A   
  80.00 MeV   9.522E+03  4.773E+01   13.19 um     4900 A      5738 A   
  90.00 MeV   9.917E+03  4.332E+01   14.22 um     5137 A      5853 A   
